Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
21/11/2019;2019;11;novembro;4;21;quinta-feira;DIA UTIL
22/11/2019;2019;11;novembro;4;22;sexta-feira;DIA UTIL
23/11/2019;2019;11;novembro;4;23;sábado;FINAL DE SEMANA
24/11/2019;2019;11;novembro;4;24;domingo;FINAL DE SEMANA
25/11/2019;2019;11;novembro;4;25;segunda-feira;DIA UTIL
26/11/2019;2019;11;novembro;4;26;terça-feira;DIA UTIL
27/11/2019;2019;11;novembro;4;27;quarta-feira;DIA UTIL
28/11/2019;2019;11;novembro;4;28;quinta-feira;DIA UTIL
29/11/2019;2019;11;novembro;4;29;sexta-feira;DIA UTIL
30/11/2019;2019;11;novembro;4;30;sábado;FINAL DE SEMANA
01/12/2019;2019;12;dezembro;4;1;domingo;FINAL DE SEMANA
02/12/2019;2019;12;dezembro;4;2;segunda-feira;DIA UTIL
03/12/2019;2019;12;dezembro;4;3;terça-feira;DIA UTIL
04/12/2019;2019;12;dezembro;4;4;quarta-feira;DIA UTIL
05/12/2019;2019;12;dezembro;4;5;quinta-feira;DIA UTIL
06/12/2019;2019;12;dezembro;4;6;sexta-feira;DIA UTIL
07/12/2019;2019;12;dezembro;4;7;sábado;FINAL DE SEMANA
08/12/2019;2019;12;dezembro;4;8;domingo;FINAL DE SEMANA
09/12/2019;2019;12;dezembro;4;9;segunda-feira;DIA UTIL
10/12/2019;2019;12;dezembro;4;10;terça-feira;DIA UTIL
11/12/2019;2019;12;dezembro;4;11;quarta-feira;DIA UTIL
12/12/2019;2019;12;dezembro;4;12;quinta-feira;DIA UTIL
13/12/2019;2019;12;dezembro;4;13;sexta-feira;DIA UTIL
14/12/2019;2019;12;dezembro;4;14;sábado;FINAL DE SEMANA
15/12/2019;2019;12;dezembro;4;15;domingo;FINAL DE SEMANA
16/12/2019;2019;12;dezembro;4;16;segunda-feira;DIA UTIL
17/12/2019;2019;12;dezembro;4;17;terça-feira;DIA UTIL
18/12/2019;2019;12;dezembro;4;18;quarta-feira;DIA UTIL
